iter	Passed	Remaining
0	246	24425
1	325	15932
2	404	13086
3	478	11479
4	553	10522
5	630	9877
6	705	9366
7	781	8990
8	859	8685
9	944	8499
10	1017	8229
11	1091	8001
12	1163	7786
13	1238	7610
14	1315	7456
15	1395	7323
16	1470	7181
17	1547	7050
18	1621	6911
19	1699	6797
20	1776	6681
21	1884	6682
22	1969	6593
23	2045	6476
24	2122	6366
25	2197	6253
26	2273	6147
27	2350	6042
28	2424	5936
29	2500	5834
30	2571	5724
31	2647	5625
32	2722	5527
33	2802	5439
34	2875	5340
35	2948	5241
36	3025	5150
37	3100	5057
38	3174	4965
39	3249	4873
40	3320	4778
41	3400	4696
42	3474	4605
43	3549	4517
44	3626	4432
45	3708	4353
46	3783	4266
47	3857	4179
48	3932	4093
49	4005	4005
50	4079	3919
51	4156	3836
52	4226	3748
53	4306	3668
54	4381	3585
55	4454	3500
56	4526	3415
57	4602	3332
58	4680	3252
59	4756	3170
60	4833	3090
61	4907	3008
62	4985	2928
63	5063	2848
64	5139	2767
65	5310	2735
66	5395	2657
67	5486	2581
68	5569	2502
69	5649	2421
70	5726	2338
71	5810	2259
72	5891	2179
73	5950	2090
74	6024	2008
75	6095	1924
76	6169	1842
77	6248	1762
78	6318	1679
79	6392	1598
80	6468	1517
81	6540	1435
82	6616	1355
83	6690	1274
84	6763	1193
85	6840	1113
86	6912	1032
87	6981	952
88	7053	871
89	7121	791
90	7195	711
91	7271	632
92	7341	552
93	7416	473
94	7489	394
95	7563	315
96	7640	236
97	7714	157
98	7789	78
99	7866	0
