iter	Logloss
0	0.5980040797
1	0.520648136
2	0.4560053675
3	0.4011523357
4	0.35448929
5	0.3141818931
6	0.2793103791
7	0.2490187958
8	0.2222600094
9	0.1988222163
10	0.1780105701
11	0.1596523317
12	0.1433769804
13	0.128911852
14	0.1159658365
15	0.1044624622
16	0.09413947242
17	0.08490367217
18	0.07658080812
19	0.06917295872
20	0.06248603222
21	0.05654717643
22	0.05118337145
23	0.04634303967
24	0.04197924178
25	0.03801190074
26	0.03450831086
27	0.03126363564
28	0.02841880526
29	0.02579457013
30	0.02345657786
31	0.02134208898
32	0.01944238757
33	0.01769745421
34	0.01610299247
35	0.01470182799
36	0.01342606592
37	0.01225199561
38	0.01122201833
39	0.01026172813
40	0.009437590499
41	0.008642963951
42	0.007940138426
43	0.007294959871
44	0.006710747063
45	0.006181077857
46	0.005704361791
47	0.005275590741
48	0.004881913406
49	0.004531617176
50	0.00421148564
51	0.003920174008
52	0.003678296391
53	0.003439335588
54	0.003224976228
55	0.003043367797
56	0.002865696215
57	0.002703788678
58	0.002558815794
59	0.002425821874
60	0.002311988932
61	0.002205339189
62	0.002107842376
63	0.002017934652
64	0.001937173111
65	0.001864299321
66	0.001802381117
67	0.001741416529
68	0.001686977554
69	0.001641486556
70	0.001607236902
71	0.00156556763
72	0.001527673636
73	0.001505552476
74	0.001472587766
75	0.001454163262
76	0.001426614929
77	0.00140111084
78	0.001385836954
79	0.001364045332
80	0.001344704906
81	0.001338166098
82	0.001320732372
83	0.001311380106
84	0.001298192482
85	0.001283797251
86	0.001271244894
87	0.001264233844
88	0.001257598301
89	0.001253746511
90	0.001244311814
91	0.001235763924
92	0.001231364936
93	0.001227720355
94	0.001220222335
95	0.001216031874
96	0.001209313217
97	0.001203580268
98	0.001201756508
99	0.001196693993
