iter	Passed	Remaining
0	269	26641
1	348	17098
2	426	13774
3	506	12148
4	584	11104
5	666	10435
6	741	9856
7	820	9434
8	900	9106
9	985	8872
10	1060	8583
11	1137	8341
12	1213	8121
13	1288	7913
14	1366	7741
15	1442	7573
16	1524	7441
17	1600	7293
18	1676	7146
19	1753	7013
20	1830	6887
21	1907	6761
22	1983	6641
23	2062	6532
24	2138	6416
25	2215	6305
26	2290	6192
27	2369	6092
28	2442	5980
29	2522	5886
30	2600	5787
31	2675	5686
32	2751	5587
33	2834	5501
34	2924	5430
35	3003	5339
36	3077	5239
37	3156	5149
38	3229	5051
39	3308	4962
40	3382	4867
41	3455	4772
42	3533	4683
43	3606	4590
44	3683	4502
45	3759	4413
46	3837	4327
47	3915	4241
48	3991	4154
49	4069	4069
50	4147	3984
51	4224	3899
52	4298	3812
53	4373	3725
54	4444	3636
55	4525	3555
56	4598	3469
57	4669	3381
58	4744	3297
59	4822	3214
60	4919	3145
61	5002	3066
62	5086	2987
63	5161	2903
64	5236	2819
65	5313	2737
66	5387	2653
67	5461	2570
68	5540	2489
69	5616	2407
70	5693	2325
71	5770	2244
72	5849	2163
73	5927	2082
74	6005	2001
75	6082	1920
76	6161	1840
77	6234	1758
78	6311	1677
79	6386	1596
80	6462	1515
81	6542	1436
82	6617	1355
83	6698	1275
84	6791	1198
85	6871	1118
86	6944	1037
87	7020	957
88	7099	877
89	7178	797
90	7250	717
91	7330	637
92	7406	557
93	7487	477
94	7565	398
95	7638	318
96	7714	238
97	7795	159
98	7876	79
99	7950	0
