iter	Passed	Remaining
0	226	22465
1	308	15140
2	388	12560
3	466	11185
4	547	10400
5	626	9815
6	703	9347
7	780	8974
8	858	8677
9	936	8429
10	1024	8288
11	1101	8080
12	1180	7902
13	1258	7732
14	1338	7584
15	1416	7434
16	1492	7289
17	1570	7156
18	1648	7029
19	1726	6905
20	1804	6789
21	1881	6670
22	1958	6557
23	2035	6446
24	2110	6332
25	2188	6230
26	2266	6128
27	2342	6024
28	2418	5920
29	2496	5824
30	2574	5729
31	2650	5631
32	2725	5534
33	2816	5467
34	2910	5405
35	2984	5306
36	3062	5213
37	3137	5119
38	3215	5029
39	3291	4937
40	3368	4846
41	3444	4756
42	3518	4663
43	3596	4576
44	3671	4487
45	3746	4398
46	3826	4314
47	3906	4232
48	3981	4144
49	4055	4055
50	4131	3969
51	4215	3891
52	4309	3821
53	4397	3746
54	4479	3664
55	4563	3585
56	4648	3506
57	4731	3425
58	4818	3348
59	4906	3270
60	4991	3191
61	5078	3112
62	5167	3034
63	5259	2958
64	5343	2877
65	5429	2797
66	5510	2714
67	5594	2632
68	5682	2553
69	5765	2470
70	5851	2389
71	5936	2308
72	6018	2226
73	6103	2144
74	6188	2062
75	6278	1982
76	6373	1903
77	6464	1823
78	6565	1745
79	6661	1665
80	6748	1583
81	6830	1499
82	6915	1416
83	6999	1333
84	7084	1250
85	7172	1167
86	7257	1084
87	7343	1001
88	7430	918
89	7512	834
90	7593	751
91	7678	667
92	7762	584
93	7844	500
94	7929	417
95	8012	333
96	8099	250
97	8183	167
98	8271	83
99	8360	0
