iter	Logloss
0	0.6099789711
1	0.5420544271
2	0.4851846212
3	0.4371343639
4	0.3961092326
5	0.3608356819
6	0.3303289635
7	0.3038151563
8	0.2805202385
9	0.2603056279
10	0.2423196146
11	0.226629171
12	0.2126301409
13	0.2003714694
14	0.1892585693
15	0.1795765633
16	0.1708640262
17	0.1631832749
18	0.1562604931
19	0.1500999061
20	0.1447014566
21	0.139749549
22	0.1353464541
23	0.1314240708
24	0.1279400424
25	0.1249351964
26	0.1220844239
27	0.119508059
28	0.1172172126
29	0.1151928663
30	0.1133320688
31	0.1117322009
32	0.1102280035
33	0.1089731815
34	0.1078066356
35	0.1067965786
36	0.1058618929
37	0.1049638085
38	0.1041895456
39	0.1034701727
40	0.1028145998
41	0.1022652623
42	0.101761101
43	0.1013662852
44	0.1009323966
45	0.1005925462
46	0.1002585339
47	0.09995010737
48	0.09967735262
49	0.09944615814
50	0.09925816669
51	0.09904959926
52	0.09888503796
53	0.09872222614
54	0.09858269925
55	0.09848056245
56	0.09835905753
57	0.0982475993
58	0.09815557253
59	0.09808456936
60	0.09799846587
61	0.09794627715
62	0.09789844174
63	0.09785773887
64	0.09779322444
65	0.09774496146
66	0.09768815058
67	0.09764251777
68	0.09760768548
69	0.09756514353
70	0.09753345095
71	0.09751018558
72	0.09747817097
73	0.09744587017
74	0.09742131244
75	0.0974050859
76	0.0973889127
77	0.09737955345
78	0.0973631036
79	0.09735003709
80	0.09733460922
81	0.09732091843
82	0.09730758642
83	0.09729782763
84	0.09728799189
85	0.09727598833
86	0.09726969799
87	0.09726151937
88	0.09725129069
89	0.09724651749
90	0.09723329866
91	0.09722538117
92	0.0972166713
93	0.09721098437
94	0.09720030932
95	0.09719325965
96	0.09718904305
97	0.09718165226
98	0.09717650175
99	0.09717280069
